,ctrl_t_count,ctrl_b_count,ctrl_q_count,damgo_t_count,damgo_b_count,damgo_q_count
1,119,15,166,59,10,231
2,118,25,157,61,19,220
3,118,21,161,58,18,224
4,113,24,163,66,16,218
5,122,21,157,67,12,221
6,119,15,166,61,9,230
7,118,24,158,66,16,218
8,113,28,159,61,26,213
9,117,17,166,68,9,223
10,120,19,161,59,15,226
11,121,16,163,68,7,225
12,126,20,154,68,13,219
13,143,9,148,69,8,223
14,128,17,155,62,15,223
15,121,23,156,70,15,215
16,118,18,164,58,15,227
17,107,17,176,56,13,231
18,111,14,175,60,8,232
19,130,21,149,64,17,219
20,96,25,179,50,12,238
21,115,18,167,55,16,229
22,108,25,167,51,21,228
23,120,22,158,61,16,223
24,115,19,166,59,13,228
25,117,26,157,57,22,221
26,122,13,165,66,9,225
27,104,20,176,52,17,231
28,110,26,164,54,19,227
29,115,25,160,62,20,218
30,129,18,153,69,17,214
31,128,26,146,64,15,221
32,116,15,169,57,8,235
33,115,23,162,63,15,222
34,115,16,169,54,15,231
35,102,21,177,53,13,234
36,122,20,158,65,18,217
37,122,21,157,67,17,216
38,111,25,164,56,25,219
39,105,19,176,51,14,235
40,118,26,156,58,23,219
